poligraphId,Slug affaire,Titre,poligraphId politique,Slug politique,Politique,Parti actuel (abrégé),Parti actuel,Position politique,Parti au moment (abrégé),Parti au moment,Statut,Statut (code),Catégorie,Catégorie (code),Gravité,Gravité (code),Implication,Implication (code),Liée au mandat,Date des faits,Date de début,Date du verdict,Amende (EUR),Prison (mois),Prison avec sursis,Inéligibilité (mois),TIG (heures),Appel,Peine (texte libre),Autres peines,Juridiction,ECLI,Description,Nombre de sources,Première source (URL),Première source (titre),Page Poligraph,Créée le,Mise à jour le
AF-000301,rima-hassan-garde-a-vue-apologie-terrorisme-tweet-okamoto,Apologie du terrorisme pour un tweet citant Kōzō Okamoto,PG-001014,rima-hassan,Rima Hassan,LFI,La France insoumise,Gauche,,,Renvoi devant le tribunal,RENVOI_TRIBUNAL,Incitation à la haine,INCITATION_HAINE,Grave,GRAVE,Mis en cause,DIRECT,non,2026-03-26,2026-04-02,,,,,,,non,,,,,"Le 26 mars 2026, Rima Hassan publie sur X un message avec des drapeaux japonais et palestinien, citant Kōzō Okamoto, membre de l'Armée rouge japonaise auteur de l'attentat de l'aéroport de Lod en 1972. L'Observatoire juif de France dépose plainte. Le pôle national de lutte contre la haine en ligne (PNLH) ouvre une enquête le 27 mars. Le 2 avril, elle est placée en garde à vue puis libérée dans la soirée. Elle est convoquée devant le tribunal correctionnel le 7 juillet 2026. Son avocat Me Vincent Brengarth dénonce une procédure « parfaitement illégale » et annonce une demande de nullité.",8,https://www.lemonde.fr/politique/article/2026/04/02/l-eurodeputee-lfi-rima-hassan-en-garde-a-vue_6676157_823448.html,"Rima Hassan, eurodéputée LFI, en garde à vue ; son entourage dénonce « un nouveau cap franchi dans le harcèlement judiciaire »",https://poligraph.fr/affaires/rima-hassan-garde-a-vue-apologie-terrorisme-tweet-okamoto,2026-04-02T19:08:05.728Z,2026-04-05T19:17:06.488Z
AF-000300,christophe-barthes-accusation-d-infiltration-et-menaces-contre-des-lyceens,Accusation d'infiltration et menaces contre des lycéens,PG-000229,christophe-barthes,Christophe Barthès,RN,Rassemblement National,Extrême droite,,,Enquête préliminaire,ENQUETE_PRELIMINAIRE,Menace,MENACE,Grave,GRAVE,Mentionné,MENTIONED_ONLY,non,,,,,,,,,non,,,,,"Christophe Barthès, maire RN de Carcassonne, est accusé d'avoir infiltré un groupe Instagram de lycéens mobilisés contre l'extrême droite et d'y avoir menacé des étudiants. L'affaire est en cours d'évaluation par les autorités.",1,https://www.liberation.fr/politique/carcassonne-deja-abonne-aux-polemiques-le-maire-rn-accuse-dinfiltrer-un-groupe-de-lyceens-20260401_S45IMSZNGNC7VEJ5IIKH6L3JBA/,"Carcassonne : déjà abonné aux polémiques, le maire RN accusé d’infiltrer un groupe de lycéens",https://poligraph.fr/affaires/christophe-barthes-accusation-d-infiltration-et-menaces-contre-des-lyceens,2026-04-01T19:09:21.386Z,2026-04-05T19:20:55.340Z
AF-000299,emploi-fictif-assistant-parlementaire-yann-bompard,Emploi fictif d'assistant parlementaire,PG-034080,yann-bompard,Yann Bompard,LS,Ligue du Sud,,LS,Ligue du Sud,Appel en cours,APPEL_EN_COURS,Emploi fictif,EMPLOI_FICTIF,Grave,GRAVE,Mis en cause,DIRECT,non,2022-11-01,,2026-01-26,,18,oui,,,non,,,,,"Yann Bompard est condamné pour avoir occupé un emploi fictif d'assistant parlementaire de la députée Marie-France Lorho entre novembre 2022 et février 2023. L'Assemblée nationale, partie civile, estime son préjudice à environ 75 000 euros. Le tribunal correctionnel de Marseille le condamne le 26 janvier 2026 à cinq ans d'inéligibilité avec exécution provisoire et dix-huit mois de prison avec sursis. L'inéligibilité entraîne la perte immédiate de son mandat de maire d'Orange. Yann Bompard et sa co-accusée Marie-France Lorho font appel de la décision.",3,https://www.francebleu.fr/infos/faits-divers-justice/le-maire-d-orange-condamne-a-cinq-ans-d-ineligibilite-pour-detournement-de-fonds-publics-1357827,Le maire d'Orange Yann Bompard et la députée RN de Vaucluse Marie-France Lorho condamnés à cinq ans d'inéligibilité,https://poligraph.fr/affaires/emploi-fictif-assistant-parlementaire-yann-bompard,2026-03-16T10:01:17.474Z,2026-03-16T10:01:17.474Z
AF-000298,martine-vassal-enquete-detournement-fonds-publics-corruption-cd13,"Enquete pour detournement de fonds publics, corruption et trafic d'influence au conseil departemental des Bouches-du-Rhone",PG-036417,martine-vassal,Martine Vassal,LR,Les Républicains,Droite,LR,Les Républicains,Enquête préliminaire,ENQUETE_PRELIMINAIRE,Détournement de fonds publics,DETOURNEMENT_FONDS_PUBLICS,Grave,GRAVE,Mentionné,MENTIONED_ONLY,non,2025-08-26,,,,,,,,non,,,,,"Deux enquetes preliminaires ouvertes par le parquet de Marseille en aout 2025 apres un signalement d'Erwan Davoux, ancien directeur des relations internationales du conseil departemental des Bouches-du-Rhone (2022-2025). Les faits presumes portent sur des detournements de fonds publics, de la corruption et du trafic d'influence au sein du departement preside par Martine Vassal depuis 2015. Des perquisitions ont ete menees en septembre 2025 au conseil departemental, a la metropole Aix-Marseille-Provence et aux domiciles de Martine Vassal et de son directeur de cabinet Marc Jolibois. Le conseil departemental a depose une plainte en retour contre Erwan Davoux pour chantage.",1,https://marsactu.fr/la-justice-ouvre-une-enquete-preliminaire-apres-un-signalement-visant-martine-vassal/,La justice ouvre une enquete preliminaire apres un signalement visant Martine Vassal,https://poligraph.fr/affaires/martine-vassal-enquete-detournement-fonds-publics-corruption-cd13,2026-03-15T23:10:10.896Z,2026-03-15T23:10:10.896Z
AF-000297,francois-grosdidier-detournement-fonds-publics-remuneration-woippy,Detournement de fonds publics pour remuneration irreguliere a Woippy,PG-001752,francois-grosdidier,François Grosdidier,LR,Les Républicains,Droite,,,Renvoi devant le tribunal,RENVOI_TRIBUNAL,Détournement de fonds publics,DETOURNEMENT_FONDS_PUBLICS,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,oui,2010-01-01,2024-01-01,,,,,,,non,,,,,"Alors qu'il etait maire de Woippy (2001-2017), Francois Grosdidier aurait gonfle les chiffres de population officielle de la commune pour justifier des budgets de personnel plus eleves, permettant la remuneration irreguliere de collaborateurs. Le montant estime des remunerations irregulieres s'eleve a environ 569 000 euros. En 2024, le juge d'instruction a prononce un non-lieu partiel, mais la chambre de l'instruction de la cour d'appel de Paris, saisie par Anticor, a infirme partiellement cette decision : le non-lieu pour favoritisme a ete confirme, mais le renvoi devant le tribunal correctionnel pour detournement de fonds publics a ete ordonne. Grosdidier a forme un pourvoi en cassation, suspendant la procedure dans l'attente de la decision de la Cour de cassation.",1,https://www.francebleu.fr/grand-est/moselle-57/metz/le-maire-de-metz-francois-grosdidier-renvoye-devant-la-justice-pour-detournement-de-fonds-publics-1834575,Le maire de Metz Francois Grosdidier renvoye devant la justice pour detournement de fonds publics,https://poligraph.fr/affaires/francois-grosdidier-detournement-fonds-publics-remuneration-woippy,2026-03-12T16:59:21.098Z,2026-03-12T22:06:36.257Z
AF-000296,nicolas-sansu-plainte-harcelement-decembre-2025,Plainte pour harcelement deposee par une ancienne relation,PG-000046,nicolas-sansu,Nicolas Sansu,PCF,Parti communiste français,Extrême gauche,PCF,Parti communiste français,Enquête préliminaire,ENQUETE_PRELIMINAIRE,Harcèlement moral,HARCELEMENT_MORAL,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,non,2025-12-22,2025-12-23,,,,,,,non,,,,,"Le 22 decembre 2025, une ancienne relation de Nicolas Sansu a depose plainte pour harcelement aupres du parquet de Bourges. Selon la plaignante, le depute se serait presente en etat d'ebriete a ce qu'il pensait etre son domicile (mauvaise adresse), aurait crie et jete un chargeur de telephone contre la fenetre. La plaignante affirme que le harcelement dure depuis plusieurs annees. Le PCF du Cher a suspendu ses droits de parti et lui a demande de se mettre en retrait de toutes ses responsabilites. Sansu conteste les faits, parlant d'une 'mauvaise histoire d'amour'. Une enquete a ete ouverte par le parquet de Bourges.",1,https://www.francebleu.fr/infos/faits-divers-justice/cher-le-depute-nicolas-sansu-vise-par-une-plainte-pour-harcelement-par-une-ancienne-relation-8663588,Cher : le depute Nicolas Sansu vise par une plainte pour harcelement par une ancienne relation,https://poligraph.fr/affaires/nicolas-sansu-plainte-harcelement-decembre-2025,2026-03-12T16:12:42.702Z,2026-03-12T22:06:11.490Z
AF-000295,valerie-boyer-diffamation-farida-benaouda-mosquee-bleuets-marseille,Poursuites pour diffamation envers Farida Benaouda (mosquee des Bleuets),PG-000807,valerie-boyer,Valérie Boyer,LR,Les Républicains,Droite,LR,Les Républicains,Procès en cours,PROCES_EN_COURS,Diffamation,DIFFAMATION,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,non,2024-06-01,2024-11-01,,,,,,,non,,,,,"Valerie Boyer, ainsi que les conseillers municipaux Catherine Pila et Pierre Robin, ont ete cites a comparaitre devant le tribunal correctionnel de Marseille pour diffamation publique envers Farida Benaouda, elue du Printemps marseillais. Les propos vises ont ete tenus sur X (ex-Twitter) et dans La Provence, concernant la mosquee des Bleuets dans le 13e arrondissement de Marseille. Une premiere audience a eu lieu fin 2024, suivie d'un renvoi. L'audience est fixee au 2 septembre 2025.",1,https://marsactu.fr/bref/valerie-boyer-catherine-pila-et-pierre-robin-juges-en-septembre-2025-pour-diffamation/,"Valerie Boyer, Catherine Pila et Pierre Robin juges en septembre 2025 pour diffamation",https://poligraph.fr/affaires/valerie-boyer-diffamation-farida-benaouda-mosquee-bleuets-marseille,2026-03-12T15:22:40.489Z,2026-03-12T22:05:41.324Z
AF-000294,christine-engrand-delit-de-fuite-guines-septembre-2025,Enquete pour delit de fuite apres un accident a Guines,PG-000331,christine-engrand,Christine Engrand,,,,,,Enquête préliminaire,ENQUETE_PRELIMINAIRE,Autre,AUTRE,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,non,2025-09-22,2025-09-23,,,,,,,non,,,,,"Le 22 septembre 2025, une Volkswagen Beetle blanche appartenant a Christine Engrand a percute un vehicule en stationnement a Guines (Pas-de-Calais), a quelques centaines de metres de son bureau parlementaire, puis a quitte les lieux sans s'arreter. Une plainte a ete deposee le lendemain et l'enquete a ete confiee a l'Unite de police judiciaire de Calais. Le dossier est en cours d'instruction au parquet de Boulogne-sur-Mer. Fait aggravant : le tribunal de Boulogne avait juge en mai 2025 qu'Engrand n'avait pas de permis de conduire valide depuis 2009.",1,https://www.mediacites.fr/enquete/lille/2026/03/09/la-deputee-ex-rn-christine-engrand-impliquee-dans-un-delit-de-fuite/,La deputee (ex-RN) Christine Engrand impliquee dans un delit de fuite,https://poligraph.fr/affaires/christine-engrand-delit-de-fuite-guines-septembre-2025,2026-03-12T14:21:57.423Z,2026-03-12T21:58:26.678Z
AF-000293,aurelien-tache-plainte-prefet-diffamation-police-tue,Plainte du prefet du Val-d'Oise pour diffamation envers les forces de l'ordre,PG-000157,aurelien-tache,Aurélien Taché,LFI,La France insoumise,Gauche,LFI,La France insoumise,Enquête préliminaire,ENQUETE_PRELIMINAIRE,Diffamation,DIFFAMATION,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,non,2025-08-01,2025-08-20,,,,,,,non,,,,,"En aout 2025, le prefet du Val-d'Oise a depose plainte pour diffamation contre Aurelien Tache. Le depute avait ecrit sur X que ""la police tue partout"" en reference a la mort de Gabriel Bee, tue par un gendarme dans la nuit du 20-21 mai 2025 a Auge (Val-d'Oise).",1,https://www.franceinfo.fr/faits-divers/police/violences-policieres/le-prefet-du-val-d-oise-porte-plainte-contre-le-depute-lfi-aurelien-tache-apres-ses-propos-concernant-la-police_7444615.html,Le prefet du Val-d Oise porte plainte contre le depute LFI Aurelien Tache apres ses propos concernant la police,https://poligraph.fr/affaires/aurelien-tache-plainte-prefet-diffamation-police-tue,2026-03-12T11:10:00.138Z,2026-03-12T21:55:48.770Z
AF-000292,sebastien-delogu-convocation-police-propos-adama-traore,Convocation policiere pour propos sur la mort d'Adama Traore,PG-000249,sebastien-delogu,Sébastien Delogu,LFI,La France insoumise,Gauche,LFI,La France insoumise,Enquête préliminaire,ENQUETE_PRELIMINAIRE,Diffamation,DIFFAMATION,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,non,2026-03-01,2026-03-05,,,,,,,non,,,,,"En mars 2026, Sebastien Delogu est convoque par la police a Marseille apres une plainte du prefet de region. Le depute avait declare lors d'une reunion de campagne municipale que ""la police tue partout"", en reference a la mort d'Adama Traore. Le prefet a depose plainte pour diffamation envers les forces de l'ordre.",1,https://www.lejdd.fr/politique/propos-sur-la-mort-dadama-traore-sebastien-delogu-convoque-par-la-police-a-marseille-168195,Propos sur la mort d'Adama Traore : Sebastien Delogu convoque par la police a Marseille,https://poligraph.fr/affaires/sebastien-delogu-convocation-police-propos-adama-traore,2026-03-12T11:09:59.968Z,2026-03-12T21:52:13.959Z
AF-000291,pascal-markowsky-enquete-banqueroute-liquidation-mpc,Enquete pour banqueroute apres la liquidation judiciaire de MPC,PG-000462,pascal-markowsky,Pascal Markowsky,RN,Rassemblement National,Extrême droite,RN,Rassemblement National,Enquête préliminaire,ENQUETE_PRELIMINAIRE,Abus de biens sociaux,ABUS_BIENS_SOCIAUX,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,non,2025-05-27,2025-06-01,,,,,,,non,,,,,"La societe MPC (Media Publicite Conseil), entreprise d'imprimerie et de signaletique de Pascal Markowsky, a ete placee en liquidation judiciaire le 27 mai 2025 par le tribunal de commerce de La Rochelle. Le parquet de La Rochelle a ouvert une enquete pour banqueroute. Cette affaire est distincte des commandes d'imprimerie surfacturees, et porte specifiquement sur les conditions de la faillite de l'entreprise.",1,https://lesjours.fr/obsessions/rn-derniere-marche-2/ep2-pascal-markowsky-banqueroute/,Les affaires du depute RN Pascal Markowsky dans le viseur de la justice,https://poligraph.fr/affaires/pascal-markowsky-enquete-banqueroute-liquidation-mpc,2026-03-12T11:09:59.770Z,2026-03-12T21:51:35.908Z
AF-000290,marine-tondelier-relaxe-diffamation-viticulteurs-narbonne,Relaxe pour diffamation envers des viticulteurs de l'Aude,PG-001741,marine-tondelier,Marine Tondelier,EELV,Les Écologistes – Europe Écologie Les Verts,Gauche,EELV,Les Écologistes – Europe Écologie Les Verts,Relaxe,RELAXE,Diffamation,DIFFAMATION,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,non,2024-06-01,,2024-10-25,,,,,,non,,,,,"Des viticulteurs de l'Aude ont depose plainte pour diffamation contre Marine Tondelier a la suite de propos tenus lors d'une visite avec Sandrine Rousseau. Le tribunal correctionnel de Narbonne l'a relaxee le 25 octobre 2024, estimant qu'il n'y avait pas d'intention diffamatoire.",1,https://www.centpourcent.com/justice-marine-tondelier-relaxee-par-le-tribunal-de-narbonne-dans-une-affaire-de-diffamation,Marine Tondelier relaxee par le tribunal de Narbonne dans une affaire de diffamation,https://poligraph.fr/affaires/marine-tondelier-relaxe-diffamation-viticulteurs-narbonne,2026-03-12T11:02:18.442Z,2026-03-12T21:50:59.448Z
AF-000289,rima-hassan-enquete-apologie-terrorisme-declarations-hamas,Apologie du terrorisme et provocation publique (enquêtes 2024-2025),PG-001014,rima-hassan,Rima Hassan,LFI,La France insoumise,Gauche,LFI,La France insoumise,Renvoi devant le tribunal,RENVOI_TRIBUNAL,Autre,AUTRE,Grave,GRAVE,Mis en cause,DIRECT,non,2024-02-01,2024-02-15,,,,,,,non,,,,,"Depuis 2024, Rima Hassan fait l'objet d'enquêtes préliminaires pour apologie du terrorisme après plusieurs publications sur les réseaux sociaux. En avril 2025, elle est entendue en audition libre par la BRDP. Le 3 avril 2026, elle est de nouveau convoquée en audition libre pour deux faits distincts : (1) une story Instagram du 20 octobre 2025 commentée « One by one » accompagnant un article sur le Hamas, et (2) le repost le 8 mars 2025 d'une photo d'un tag « Dissoudre Nemesis à l'acide ». Elle est convoquée devant le tribunal correctionnel le 16 septembre 2026 pour ces deux chefs.",1,https://www.franceinfo.fr/faits-divers/justice-proces/rima-hassan-a-ete-entendue-en-audition-libre-par-la-police-dans-le-cadre-d-enquetes-pour-apologie-du-terrorisme_7195290.html,Rima Hassan entendue en audition libre dans le cadre d'enquetes pour apologie du terrorisme,https://poligraph.fr/affaires/rima-hassan-enquete-apologie-terrorisme-declarations-hamas,2026-03-12T10:20:29.812Z,2026-04-05T19:13:28.877Z
